url,address,neighborhood,rent,beds,baths
https://www.renthop.com/listings/84th-street/3...,84th Street,"Upper West Side, Upper Manhattan, Manhattan","$2,350.00",1_Bed,1_Bath
https://www.renthop.com/listings/e-14th-st/4br...,E 14th St.,"Gramercy Park, Midtown Manhattan, Manhattan","$6,495.00",4_Bed,1.5_Bath
https://www.renthop.com/listings/w-69th-st/4/1...,W 69th St.,"Lincoln Square, Upper West Side, Upper Manhatt...","$2,900.00",1_Bed,1_Bath
https://www.renthop.com/listings/355-south-end...,"355 South End Avenue, Apt 4J","Battery Park City, Downtown Manhattan, Manhattan","$5,748.00",2_Bed,2_Bath
https://www.renthop.com/listings/river-road/na...,river road,"Roosevelt Island, Manhattan","$5,800.00",4_Bed,2_Bath
https://www.renthop.com/listings/215-w-75th-st...,"215 W 75th St, Apt 16/A","Upper West Side, Upper Manhattan, Manhattan","$5,600.00",2_Bed,1_Bath
https://www.renthop.com/listings/227-east-96th...,227 East 96th Street,"East Harlem, Upper Manhattan, Manhattan","$1,995.00",Studio,1_Bath
https://www.renthop.com/listings/924-myrtle-av...,"924 Myrtle Ave, Apt 3B","Bedford-Stuyvesant, Northern Brooklyn, Brooklyn","$1,965.00",Studio,1_Bath
https://www.renthop.com/listings/east-85th-str...,East 85th Street,"Yorkville, Upper East Side, Upper Manhattan, M...","$1,985.00",Studio,1_Bath
https://www.renthop.com/listings/financial-dis...,Financial District,"Financial District, Downtown Manhattan, Manhattan","$2,331.00",Studio,1_Bath
https://www.renthop.com/listings/east-69th-st-...,East 69th St & 2nd Ave,"Upper East Side, Upper Manhattan, Manhattan","$3,695.00",2_Bed,2_Bath
https://www.renthop.com/listings/queens-street...,Queens Street,"Long Island City, Northwestern Queens, Queens","$3,340.00",2_Bed,1_Bath
https://www.renthop.com/listings/864-nostrand-...,"864 Nostrand Avenue, Apt 2","Crown Heights, Central Brooklyn, Brooklyn","$2,899.00",3_Bed,1_Bath
https://www.renthop.com/listings/202-e-13th-st...,"202 E 13th St., Apt 5G","East Village, Downtown Manhattan, Manhattan","$5,495.00",2_Bed,2_Bath
